COD_LOC;ZONA;COD_DEPOSITO;SPEDIZIONI_2021
025072;219;38;266
025074;219;38;169
026003;840;66;80
026004;840;38;3
026004;840;66;80
026006;240;66;103
026012;840;66;307
026014;840;66;35
026018;841;66;53
026020;841;66;105
026022;841;66;145
026023;240;58;1
026023;240;66;114
026025;240;66;126
026026;841;66;190
026027;841;66;66
026029;840;66;56
026030;841;66;76
026033;841;66;118
026034;239;67;53
026035;240;66;99
026036;840;66;51
026042;841;66;67
026043;239;67;386
026045;840;66;20
026046;240;66;472
026048;841;66;66
026056;240;66;55
026056;840;38;1
026056;840;66;145
026057;841;66;264
026065;841;66;60
026066;840;66;88
026067;841;66;56
026068;840;66;105
026077;840;66;55
026080;841;66;128
026084;841;66;65
026086;240;66;1292
026087;240;66;268
026089;240;66;137
026090;240;66;68
026091;237;67;360
026092;841;66;747
026093;237;67;222
026096;840;66;149
027001;221;67;41
027002;821;67;89
027003;821;67;93
027004;821;67;125
027005;221;67;77
027005;222;8T;14
027006;846;67;249
027007;221;67;70
027008;846;67;582
027009;221;67;51
027010;846;67;29
027011;221;67;64
027012;821;67;210
027013;221;67;124
027014;821;67;112
027015;221;67;66
027016;221;67;93
027017;821;67;86
027018;221;67;28
027019;221;67;184
027020;621;67;218
027021;821;67;319
027022;221;67;96
027023;821;67;523
027024;821;67;494
027025;221;67;84
027026;821;67;183
027027;221;67;54
027028;821;67;185
027029;221;67;301
027029;222;8T;23
027030;221;67;41
027031;221;67;86
027032;821;67;158
027033;221;58;1
027033;221;67;358
027035;821;67;209
027036;221;67;159
027037;821;67;219
027038;821;67;389
027039;821;67;115
027040;221;67;52
027042;238;8V;2213
027042;621;04;56
027042;621;67;622
027042;721;04;184
027042;721;58;1
027042;721;67;1799
027042;821;04;19
027042;821;67;240
027042;846;67;1
027043;821;67;165
027044;221;67;195
027044;221;8V;1
028001;845;67;198
028007;846;67;53
028015;846;67;67
028016;245;67;180
028020;245;67;110
028033;846;67;42
028035;846;67;52
028044;846;67;88
028045;845;67;1
028050;245;67;68
028058;248;67;83
028060;248;67;1817
028060;845;67;1
028065;846;67;206
028068;846;67;54
028082;846;67;58
028099;245;67;119
028103;845;67;9
029001;261;67;303
029002;261;67;93
029004;260;67;177
029017;261;67;56
029030;261;67;68
029034;261;67;26
029035;261;67;44
029039;261;67;103
029040;261;67;114
029041;260;67;858
029046;261;67;93
029052;261;67;169
030026;223;8T;176
030027;223;8T;273
030049;222;8T;113
030061;226;69;19
030079;223;8T;51
030129;227;69;1850
030137;229;8T;1
032001;220;8T;81
032002;220;8T;8
032003;220;8T;84
032004;220;8T;21
032005;220;8T;11
032006;220;8T;1682
033010;283;21;8
033023;907;21;133
033032;280;21;3
033032;283;21;2649
033037;282;21;9
033039;779;21;286
033043;779;21;112
033044;282;21;65
034009;787;21;227
034016;787;21;26
034018;289;21;28
034018;787;21;1
034022;289;21;43
034024;787;21;3
034025;785;21;295
034025;787;21;12
034026;289;21;42
034027;287;21;172
034027;288;21;2905
034028;785;21;26
034033;284;21;112
034033;285;21;1
034038;785;21;33
034042;289;21;3
034044;785;21;45
034051;289;21;4
035003;291;21;43
035006;291;58;2
035012;291;58;1
035021;291;21;39
035033;293;21;1412
036007;297;07;140
036013;294;58;2
036018;309;07;68
036023;295;07;42
036023;297;07;80
036023;298;07;2372
036030;309;07;8
037001;318;07;196
037006;303;07;1197
037006;313;07;103
037006;317;07;893
037006;323;07;345
037006;329;07;1037
037006;333;07;1040
037010;335;07;9
037011;336;07;526
037012;330;07;1
037024;332;07;237
037029;504;27;3
037031;335;07;42
037032;302;07;825
037032;310;07;18
037036;335;07;6
037044;335;07;33
037046;331;07;16
037054;330;07;3
037054;904;07;192
037059;796;07;23
037061;301;07;189
038005;305;07;113
038005;854;24;1
038006;305;04;26
038006;305;07;271
038008;307;07;119
038008;308;07;190
038011;305;07;94
038014;305;07;77
038017;305;07;84
038025;305;07;33
038027;305;07;89
039001;310;07;164
039010;311;07;407
039014;310;07;506
039014;310;58;1
039014;710;07;1775
039014;710;58;15
040003;322;07;57
040007;711;07;37
040012;321;07;4
040012;322;07;139
040012;718;07;1
040028;616;07;5
041001;325;06;14
041005;325;06;1
041007;325;06;53
041008;325;06;15
041009;325;06;8
041013;325;06;260
041014;325;06;20
041015;325;06;57
041019;325;06;23
041023;325;06;10
041024;325;06;8
041025;325;06;10
041028;325;06;8
041029;325;06;57
041036;325;06;11
041039;325;06;46
041042;325;06;29
041043;325;06;65
041044;325;06;396
041045;325;06;6
041051;325;06;14
041053;325;06;13
041054;325;06;10
041055;325;06;14
041057;325;06;51
041063;325;06;11
041065;325;06;24
041066;325;06;33
041067;325;06;84
041068;325;06;16
041070;325;06;8
041071;325;06;22
042032;326;06;17
044068;328;58;1
045003;518;27;703
045010;517;27;841
046002;520;27;19
046003;520;27;123
046005;521;27;98
046006;520;27;57
046007;521;27;79
046011;520;27;22
046013;521;27;85
046015;520;27;52
046017;521;04;2
046017;521;27;239
046018;521;27;69
046021;521;27;10
046022;521;27;9
046023;520;27;21
046025;520;27;51
046028;521;27;89
046030;521;27;25
046033;521;27;394
047005;504;27;15
047007;504;27;5
047009;504;27;48
047011;504;27;37
047012;504;27;38
047013;504;27;19
047014;504;27;238
047017;504;27;55
047018;504;27;8
047020;504;27;33
047021;504;27;31
047024;504;27;75
048001;503;27;23
048004;503;27;37
048008;503;27;14
048012;503;27;23
048017;503;04;10
048017;503;27;742
048021;503;27;6
048024;503;27;16
048026;503;27;8
048030;503;27;11
048038;503;27;12
048041;503;27;75
048043;503;27;76
048046;503;27;8
048054;503;27;14
049007;528;27;53
049009;528;27;844
049012;528;27;99
049017;528;27;83
049018;528;27;13
050001;524;27;9
050003;524;27;9
050008;524;27;174
050020;524;27;4
050025;524;27;3
050026;524;27;531
050028;524;04;1
050028;524;27;35
050029;524;27;68
050032;524;27;115
050035;524;27;30
050037;524;27;33
050040;524;27;23
051002;508;04;12
051002;508;27;139
051004;508;27;28
051005;508;27;4
051008;508;27;6
051010;508;27;3
051013;508;27;9
051024;508;27;3
051031;508;27;13
051033;508;27;22
051037;508;27;5
