models.py | [INFO] | 2022-09-07 22:33:08,603 | models | : Fine - Elapsed Time: 3.8012489999999994 in models:72
log_setup.py | [INFO] | 2022-09-07 22:34:07,885 | models | : Log Setup Completed, called from models in log_setup:54
models.py | [INFO] | 2022-09-07 22:34:11,584 | models | : Fine - Elapsed Time: 3.7082253 in models:72
log_setup.py | [INFO] | 2022-09-07 22:36:56,043 | models | : Log Setup Completed, called from models in log_setup:54
models.py | [INFO] | 2022-09-07 22:36:59,704 | models | : Fine - Elapsed Time: 3.6697894999999994 in models:72
log_setup.py | [INFO] | 2022-09-07 22:37:51,938 | models | : Log Setup Completed, called from models in log_setup:54
models.py | [INFO] | 2022-09-07 22:37:56,073 | models | : Fine - Elapsed Time: 4.143924500000001 in models:72
log_setup.py | [INFO] | 2022-09-07 22:39:10,149 | models | : Log Setup Completed, called from models in log_setup:54
models.py | [INFO] | 2022-09-07 22:39:14,253 | models | : Fine - Elapsed Time: 4.1048205 in models:72
log_setup.py | [INFO] | 2022-09-07 22:43:36,859 | models | : Log Setup Completed, called from models in log_setup:54
models.py | [INFO] | 2022-09-07 22:43:41,146 | models | : Fine - Elapsed Time: 4.287567 in models:72
log_setup.py | [INFO] | 2022-09-07 22:46:13,826 | models | : Log Setup Completed, called from models in log_setup:54
models.py | [INFO] | 2022-09-07 22:46:17,456 | models | : Fine - Elapsed Time: 3.6306247000000003 in models:72
log_setup.py | [INFO] | 2022-09-07 22:47:07,418 | models | : Log Setup Completed, called from models in log_setup:54
models.py | [INFO] | 2022-09-07 22:47:10,900 | models | : Fine - Elapsed Time: 3.4829096 in models:72
log_setup.py | [INFO] | 2022-09-07 22:48:16,242 | models | : Log Setup Completed, called from models in log_setup:54
models.py | [INFO] | 2022-09-07 22:48:20,060 | models | : Fine - Elapsed Time: 3.8200310999999996 in models:72
log_setup.py | [INFO] | 2022-09-07 22:49:43,695 | models | : Log Setup Completed, called from models in log_setup:54
models.py | [INFO] | 2022-09-07 22:49:47,340 | models | : Fine - Elapsed Time: 3.646216 in models:72
log_setup.py | [INFO] | 2022-09-07 22:51:24,832 | models | : Log Setup Completed, called from models in log_setup:54
models.py | [INFO] | 2022-09-07 22:51:28,347 | models | : Fine - Elapsed Time: 3.5155848 in models:72
log_setup.py | [INFO] | 2022-09-08 14:42:17,535 | models | : Log Setup Completed, called from models in log_setup:54
models.py | [INFO] | 2022-09-08 14:42:19,170 | models | : Fine - Elapsed Time: 1.6331892 in models:72
log_setup.py | [INFO] | 2022-09-08 14:46:39,318 | __main__ | : Log Setup Completed, called from models in log_setup:54
models.py | [INFO] | 2022-09-08 14:46:39,788 | __main__ | : Fine - Elapsed Time: 0.024605300000000163 in models:60
log_setup.py | [INFO] | 2022-09-08 14:46:48,884 | models | : Log Setup Completed, called from models in log_setup:54
log_setup.py | [INFO] | 2022-09-08 19:16:41,545 | __main__ | : Log Setup Completed, called from models in log_setup:54
models.py | [INFO] | 2022-09-08 19:16:44,302 | __main__ | : Fine - Elapsed Time: 0.06511529999999999 in models:62
log_setup.py | [INFO] | 2022-09-09 15:01:30,320 | __main__ | : Log Setup Completed, called from models in log_setup:54
log_setup.py | [INFO] | 2022-09-09 15:04:57,987 | __main__ | : Log Setup Completed, called from models in log_setup:54
log_setup.py | [INFO] | 2022-09-29 18:36:41,096 | __main__ | : Log Setup Completed, called from models in log_setup:54
