5266412;20220825;4028020;0001359.20
5266412;20220825;4028020;0000651.80
5266412;20220825;4028020;0005605.95
5266412;20220825;4028020;0001834.65
5266412;20220825;4028020;0001202.00
5266412;20220825;4028020;0000247.00
5266412;20220825;4028020;0000840.20
5266412;20220825;4028020;0006741.80
5266412;20220825;4028020;0006093.10
5266412;20220825;4028020;0007699.80
5266412;20220825;4028020;0001764.90
5266412;20220825;4028020;0000285.75
5266412;20220825;4028020;0001868.50
5266412;20220825;4028020;0001463.90
5266412;20220825;4028020;0015814.60
5266412;20220825;4028020;0023396.05
5266412;20220825;4028020;0002293.35
